,Name,Year,Rating,Metascore,Directors,Cast,Genre,Description,Gross,Duration,Countries,Certificates,Votes,Writers,Language,Composers,Producers,Cinematographer,Editors,Casting Director,Orig_Airdate,IMDBid,Editorial Dept,Production Designers,Art Directors,Costume Designers,Production Manager,Assistant Director,Sound Department,Camera Department,Music Department,Production Companies
0,The Godfather,1972,9.2,100,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano, Robert Duvall","['Crime', 'Drama']","The Godfather ""Don"" Vito Corleone is the head of the Corleone mafia family in New York. He is at the event of his daughter's wedding. Michael, Vito's youngest son and a decorated WW II Marine is also present at the wedding. Michael seems to be uninterested in being a part of the family business. Vito is a powerful man, and is kind to all those who give him respect but is ruthless against those who do not. But when a powerful and treacherous rival wants to sell drugs and needs the Don's influence for the same, Vito refuses to do it. What follows is a clash between Vito's fading old values and the new ways which may cause Michael to do the thing he was most reluctant in doing and wage a mob war against all the other mafia families which could tear the Corleone family apart.","{'Budget': '$6,000,000 (estimated)', 'Opening Weekend United States': '$223,758, 04 Apr 1997', 'Cumulative Worldwide Gross': '$245,066,411'}",['175'],['United States'],"['Argentina:18', 'Argentina:16', 'Australia:R', 'Australia:MA15+', 'Austria:16', 'Brazil:14', 'Canada:18A', 'Canada:18A::(British Columbia)', 'Canada:14A::(Manitoba)', 'Canada:14::(Nova Scotia)', 'Canada:AA::(Ontario)', 'Canada:13+::(Quebec)', 'Canada:14A::(Alberta)', 'Chile:14', 'Colombia:18', 'Denmark:15', 'Finland:K-16', 'Finland:K-18', 'France:12', 'Hong Kong:IIB', 'Hungary:16', 'Iceland:16', 'India:UA', 'India:A', 'Ireland:18', 'Israel:PG', 'Italy:T', 'Japan:R-15', 'Japan:G', 'Mexico:C', 'Mexico:B15', 'Netherlands:16', 'New Zealand:R16', 'Nigeria:PG', 'Norway:15::(iTunes rating)', 'Norway:18::(cinema rating)', 'Peru:18', 'Philippines:R-18', 'Poland:15', 'Portugal:17', 'Portugal:M/18', 'Russia:16+', 'Saudi Arabia:PG12', 'Singapore:M18', 'South Korea:18', 'Spain:18', 'Spain:16', 'Spain:13', 'Spain:14', 'Sweden:15', 'Sweden:15::(DVD and Blu-ray rating)', 'Taiwan:R-15', 'United Kingdom:X', 'United Kingdom:15', 'United Kingdom:18', 'United States:R', 'West Germany:16']",1627380,"Mario Puzo, Francis Ford Coppola, Mario Puzo","['English', 'Italian', 'Latin']",Nino Rota,"Gray Frederickson, Albert S. Ruddy, Robert Evans",Gordon Willis,"William Reynolds, Peter Zinner","Louis DiGiaimo, Andrea Eastman, Fred Roos",24 Mar 1972 (Canada),0068646,"Christopher Gillaspie, Kathleen Largay, Walter Murch, Jan Yarbrough, Pierre Jalbert, Marc Laub, Barbara Marks, Maurice Schell, Murray Solomon, Jack Wheeler",Dean Tavoularis,Warren Clymer,Anna Hill Johnstone,"Fred C. Caruso, Valerio De Paolis, Ned Kopp","Paul Baxley, Tony Brandt, Fred T. Gallo, Stephen F. Kesten, Michael Rauch, Steven P. Skloot","Charles Grenzbach, Christopher Newman, Richard Portman, Howard Beals, Steve Cook, Pierre Jalbert, Les Lazarowitz, Don MacDougall, Kitty Malone","Michael Chapman, Bill Butler, Caleb Deschanel, Russell Engels, Ed Kammerer, Edward Knott, Jim Meyerhoff, Anthony R. Palmieri, Ed Quinn, Robert Royal, Joe Rutledge, Peter Salim, Tibor Sands, Jack Stager, Edward Tonkin, Robert M. Volpe, Dusty Wallace, Robert Ward, Ray Williams","Carlo Savina, Carl Fortina, John C. Hammell, Tommy Johnson, Sidney Lazar, Jimmy Maxwell, Paul Salamunovich, Stephen Salamunovich, Tommy Tedesco, Albert T. Viola","Paramount Pictures, Alfran Productions"
1,The Shawshank Redemption,1994,9.3,80,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown",['Drama'],"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.","{'Budget': '$25,000,000 (estimated)', 'Opening Weekend United States': '$727,326, 20 Nov 1994', 'Cumulative Worldwide Gross': '$58,500,000'}",['142'],['United States'],"['Argentina:16', 'Argentina:13', 'Australia:MA', 'Brazil:16', 'Canada:14A', 'Canada:13+::(Quebec)', 'Chile:18', 'Denmark:15', 'Finland:K-16', 'Finland:K-15/13', 'Finland:K-16/13', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIB', 'Hungary:16', 'Iceland:14', 'Iceland:16::(video rating)', 'India:U::(video)', 'India:UA::(video)', 'India:A::(video)', 'Ireland:15', 'Israel:PG', 'Italy:T', 'Japan:PG-12', 'Japan:G', 'Malaysia:18', 'Malaysia:(Banned)', 'Mexico:B', 'Netherlands:12', 'New Zealand:RP16', 'Nigeria:12A', 'Norway:15::(cinema rating)', 'Peru:14', 'Philippines:R-18', 'Philippines:R-13', 'Portugal:M/16::(Qualidade)', 'Russia:16+::(video rating)', 'Saudi Arabia:R12', 'Singapore:R(A)', 'Singapore:NC-16', 'South Africa:13', 'South Africa:16', 'South Korea:15', 'South Korea:12::(cable rating)', 'Spain:13', 'Sweden:15', 'Taiwan:R-12', 'Turkey:13+', 'United Kingdom:15', 'United States:TV-14::(DLV, TV Rating.)', 'United States:R', 'Vietnam:C16']",2351829,"Stephen King, Frank Darabont",['English'],Thomas Newman,"Liz Glotzer, David V. Lester, Niki Marvin",Roger Deakins,Richard Francis-Bruce,Deborah Aquila,14 Oct 1994 (India),0111161,"Jeff Canavan, Patricia A. Galvin, David Leslie Johnson-McGoldrick, Robert C. Lusted, David Orr, Keith Shaw","Terence Marsh, Soheil",Peter Landsdown Smith,Elizabeth McBride,"Kokayi Ampah, David V. Lester, Sue Bea Montgomery","Michael Greenwood, Thomas Schellenberg, John R. Woodward, Jesse V. Johnson","Petra Bach, Kevin Bartnof, David Behle, Bruce Bell, Mike Boudry, Kevin Boyd, Willie D. Burton, Rick Canelli, Michael J. Cerone, Jeff Clark, Zack Davis, Marilyn Graf, Ron Grafton, Michael Herbick, Ellen Heuer, Shelley Rae Hinton, Dale Johnston, Doc Kane, Jack Keller, Larry Lester, Marvin E. Lewis, Robert J. Litt, William L. Manger, Lori Martino, Thomas J. O'Connell, Richard Oswald, Janelle Showalter, John Stacy, Elliot Tyson, Robert Ulrich, Bill Weinman, Paul J. Zydel, Vanessa Theme Ament, Jim Emswiller, Mary Jo Lang, John Roesch, Donald C. Rogers, John Soukup, Carolyn Tapp","Tim L. Amstutz, John Archibald, Robin Brown, Rex Buckingham, Keith Bunting, James J. Burke, Brian 'Buzz' Buzzelli, Don Cerrone, Jorgen Christenen, Tony Corapi, Stuart Cropley, Gerrit Dangremond, Eugene C. DePasquale, Richie Ford, Max Gerber, David Gilby, James P. Gribbins, Thomas Guidugli, Bruce Hamme, Dexter Hammett, Jim Harrington, Andy Harris, William Kingsley, Jeremy Knaster, John 'Quincy' Koenig, Bobby Mancuso, Bill Martin, Ken McCahan, Russ Milner, William Moore, William R. Nielsen Jr., Hope A. Nielsen, Bill O'Leary, Charles Quinlivan, Judy Scarboro, Van Scarboro, Joseph Short, Jon Stinehour, Eric Swanek, Ruben Turner, S.B. Weathersby, Michael P. Weinstein, Richard A. Anderson, Robert Bender, Pat Dames, Kurt Dale Hartman, David Moenkhaus, Jon D. Morrison, Brian Powers, Eric Swanek","Bill Bernstein, Julian Bratolyubov, Jim Makiej, Leslie Morris, Thomas Pasatieri, Dennis S. Sands, Bob Bornstein, Tom Boyd, Bruce Dukov, Arlene Fishbach, Dan Goldwasser, Mark Graham, Tommy Morgan, Kathy Nelson, Thomas Newman, Chas Smith, Steven L. Smith, James Thatcher",Castle Rock Entertainment
2,Schindler's List,1993,8.9,94,Steven Spielberg,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall","['Biography', 'Drama', 'History']","Oskar Schindler is a vain and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us.","{'Budget': '$22,000,000 (estimated)', 'Opening Weekend United States': '$566,760, 09 Dec 2018', 'Cumulative Worldwide Gross': '$221,000,000'}",['195'],['United States'],"['Argentina:13', 'Australia:M', 'Brazil:14', 'Canada:PA::(Manitoba)', 'Canada:A::(Nova Scotia)', 'Canada:AA::(Ontario)', 'Canada:13+::(Quebec)', 'Chile:TE', 'Czech Republic:15', 'Denmark:15', 'Finland:K-14', 'Finland:K-13', 'Finland:K-16', 'France:Tous publics', 'Germany:12', 'Greece:K-13', 'Hong Kong:IIB', 'Hungary:12', 'Iceland:16', 'India:U::(video)', 'India:UA::(Bangalore)', 'India:A', 'Ireland:15', 'Israel:PG', 'Italy:T', 'Japan:R15+', 'Malaysia:18', 'Malaysia:18PL', 'Malaysia:(Banned)', 'Mexico:B15', 'Netherlands:12', 'New Zealand:M', 'Nigeria:15', 'Norway:15::(cinema rating)', 'Peru:14', 'Philippines:R-18', 'Portugal:M/12::(Qualidade)', 'Russia:16+', 'Saudi Arabia:R12', 'Singapore:R(A)', 'Singapore:M18::(DVD rating)', 'South Korea:15', 'Spain:12::(ICAA)', 'Spain:16::(TV rating)', 'Sweden:15', 'Taiwan:R-15', 'United Kingdom:15', 'United States:R::(No. 32781)', 'Ukraine:16', 'Vietnam:C16']",1217489,"Thomas Keneally, Steven Zaillian","['English', 'Hebrew', 'German', 'Polish', 'Latin']",John Williams,"Irving Glovin, Kathleen Kennedy, Branko Lustig, Gerald R. Molen, Robert Raymond, Lew Rywin, Steven Spielberg",Janusz Kaminski,Michael Kahn,"Tova Cypin, Lucky Englander, Fritz Fleischhacker, Liat Meiron, Magdalena Szwarcbart, Juliet Taylor",15 Dec 1993 (India),0108052,"Gary Burritt, Dale Caldwell, Alan Cody, Martin Cohen, Patrick Crane, Michael Fallavollita, Michelle Fandetti, Peter Fandetti, Michael Hatzer, Ralph Tarr",Allan Starski,NA,Anna B. Sheppard,"Martin Cohen, Józef Jarosz, Branko Lustig, Zdravko Madzarevic, Avner Peled, Zvi Spielmann, Milan Stanisic, Michal Szczerbic","Marek Brodzki, Michael Helfand, Sergio Mimica-Gezzan, Krzysztof Zbieranek","Kevin Bartnof, Phil Brewster, Charles L. Campbell, Paul Timothy Carden, Jeff Clark, Mike Dowson, Jerry Edemann, Louis L. Edemann, Tomislav Fogec, Leonard T. Geschke, Eric Gotthelf, Ron Grafton, Allen Hartz, Ellen Heuer, Andrea Horta, Doug Jackson, Robert Jackson, Nils C. Jensen, Ron Judkins, Samuel F. Kaufman, Gary Krivacek, Stephanie D. Krivacek, Andrea Lakin, Mary Jo Lang, Angie Luckey, Donald J. Malouf, Scott Millan, Geoff Mist, Magic A. Moreno, Robert Morrisey, Gary Mundheim, Chuck Neely, Mel Neiman, Andy Nelson, Steve Pederson, John Roesch, Rod Rogers, Larry Singer, Alicia Stevenson, Carolyn Tapp, Bernard Weiser, Kerry Dean Williams, William Jacobs, John Soukup","Marek Bojsza, Scott Buckler, Mauro Fiore, Jarek Gorczycki, David James, Jim Kwiatkowski, Mollie S. Mallinger, Steven Meizler, Zoran Mikincic, Andre Sobczak, Raymond Stella, Steve Tate, Mark Doering-Powell, Alex Jachno","Andy Bass, Tom Brown, Sandy DeCrescent, Greg Dennen, Giora Feidman, Jim Hoffman, Shawn Murphy, John Neufeld, Itzhak Perlman, Boston Symphony Orchestra, Kenneth Wannberg, John Bilezikjian, Bob Bornstein, Tom Boyd, Lars Clutterham, Bruce Dukov, Ralph Grierson, Jo Ann Kane, Kelly Mahan-Jaramillo, Angela Morley, Conrad Pope, Steven L. Smith, James Thatcher, John Williams","Universal Pictures, Amblin Entertainment"
3,Raging Bull,1980,8.2,89,Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, Nicholas Colasanto","['Biography', 'Drama', 'Sport']","When Jake LaMotta steps into a boxing ring and obliterates his opponent, he's a prizefighter. But when he treats his family and friends the same way, he's a ticking time bomb, ready to go off at any moment. Though LaMotta wants his family's love, something always seems to come between them. Perhaps it's his violent bouts of paranoia and jealousy. This kind of rage helped make him a champ, but in real life, he winds up in the ring alone.","{'Budget': '$18,000,000 (estimated)', 'Opening Weekend United States': '$13,568, 30 Jan 2005'}",['129'],['United States'],"['Argentina:18', 'Australia:M', 'Australia:MA', 'Brazil:16', 'Canada:18A::(British Columbia)', 'Canada:14A::(Manitoba)', 'Canada:R::(Nova Scotia/Ontario)', 'Canada:13+::(Quebec)', 'Czech Republic:12', 'Denmark:15::(DVD rating)', 'Finland:K-16', 'France:Tous publics', 'Hungary:16', 'Iceland:16', 'India:UA', 'India:A', 'Ireland:18', 'Israel:16', 'Italy:VM14', 'Mexico:C', 'Netherlands:16', 'New Zealand:R18', 'Nigeria:12', 'Norway:15::(recommended rating)', 'Norway:18::(cinema rating)', 'Peru:18', 'Philippines:R-18', 'Portugal:M/16', 'Saudi Arabia:R12', 'Singapore:NC-16', 'South Korea:15', 'Spain:13', 'Spain:18::(1st DVD Edition)', 'Sweden:15', 'United Kingdom:X', 'United Kingdom:18::(video)', 'United States:R', 'West Germany:16::(bw)']",322942,"Jake LaMotta, Joseph Carter, Peter Savage",['English'],NA,"Robert Chartoff, Hal W. Polaire, Peter Savage, Irwin Winkler",Michael Chapman,Thelma Schoonmaker,Cis Corman,19 Dec 1980 (USA),0081398,"Craig Bassett, Donah Bassett, Melissa Bretherton, Lisa Zeno Churgin, Jeffrey Friedman, Jim Henry, Yoshio Kishi, John Mavros, Michael R. Miller, Susan E. Morse, Sonya Polonsky, Erik T. Ramberg, Mary Scott, Karen I. Stern, George Trirogoff, Mark Warner, William Chartoff",NA,NA,"John Boxer, Richard Bruno",James D. Brubaker,"Henry Bronchtein, Elie Cohn, Jerry Grandey, Joan Van Horn, Allan Wertheim, Robert Barth","Michael Evje, Gary S. Gerlich, Walter A. Gest, Richard Guinness, David J. Kimball, Les Lazarowitz, Victoria Martin, Donald O. Mitchell, Bill Nicholson, Gary Ritchie, Robert Sciretta, Murray Siegel, Chester Slomka, Pat Suraci, Frank E. Warner, Bill Wylie, Ken Dufva","Dustin Blauvelt, Peter J. Breen, Robert Connors, Rick Fee, Henry Fusco, Tom Gilligan, Edward Gold, Brian Hamill, Christine M. Loss, Bruce MacCallum, Joe R. Marquette Jr., Ray Mendez, Robert Miller, Barry Ping, Richard Quinlan, Ed Quinn, Eddie Ramirez, Ricki-Ellen Brooke, Vincent Donohue, Don E. FauntLeRoy, William E. Fitch, James Halligan, Albert Hood, Joe Kelly, Adam Kimmel, Gábor Kövér","Jim Henrikson, Orchestra del Teatro Comunale di Bologna",Chartoff-Winkler Productions
4,Casablanca,1942,8.5,100,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt","['Drama', 'Romance', 'War']","The story of Rick Blaine, a cynical world-weary ex-patriate who runs a nightclub in Casablanca, Morocco during the early stages of WWII. Despite the pressure he constantly receives from the local authorities, Rick's cafe has become a kind of haven for refugees seeking to obtain illicit letters that will help them escape to America. But when Ilsa, a former lover of Rick's, and her husband, show up to his cafe one day, Rick faces a tough challenge which will bring up unforeseen complications, heartbreak and ultimately an excruciating decision to make.","{'Budget': '$950,000 (estimated)', 'Opening Weekend United States': '$181,494, 12 Apr 1992'}",['102'],['United States'],"['Argentina:Atp', 'Australia:A', 'Australia:PG', 'Brazil:12', 'Canada:G::(Manitoba/Nova Scotia/Quebec)', 'Canada:PG::(Ontario)', 'Chile:TE+7', 'Chile:TE+7', 'Denmark:A', 'Finland:S', 'France:Tous publics', 'Germany:6', 'Germany:6::(Blu-ray rating)', 'Hong Kong:IIA::(video rating)', 'Hungary:12', 'Iceland:L', 'India:U', 'Ireland:G', 'Ireland:G::(Blu-ray rating)', 'Ireland:G::(DVD rating)', 'Ireland:G', 'Ireland:(Banned)', 'Italy:T', 'Japan:PG-12::(video rating)', 'Japan:G', 'Malaysia:P13', 'Mexico:B', 'Netherlands:AL', 'New Zealand:PG', 'Nigeria:G', 'Norway:16', 'Norway:11', 'Norway:10', 'Peru:Apt', 'Philippines:PG-13::(MTRCB)', 'Portugal:M/12::(Qualidade)', 'Russia:6+', 'Saudi Arabia:G', 'Singapore:PG::(video rating)', 'South Africa:PG::(video rating)', 'South Korea:12', 'South Korea:15', 'Spain:T', 'Sweden:15::(orginal rating)', 'Sweden:7', 'Sweden:15', 'Taiwan:PG-12', 'United Kingdom:U', 'United Kingdom:U::(Blu-ray rating)', 'United Kingdom:U::(DVD rating)', 'United Kingdom:U', 'United States:TV-PG::(TV rating)', 'United States:Approved', 'United States:PG']",523766,"Julius J. Epstein, Philip G. Epstein, Howard Koch","['English', 'French', 'German', 'Italian']",Max Steiner,"Hal B. Wallis, Jack L. Warner",Arthur Edeson,Owen Marks,NA,23 Jan 1943 (USA),0034583,Don Siegel,NA,Carl Jules Weyl,Orry-Kelly,Al Alleborn,Lee Katz,"Francis J. Scheid, Edward Ullman","Mike Joyce, Wally Meinardus","Leo F. Forbstein, Hugo Friedhofer, M.K. Jerome, Jean Vincent Plummer, Jack Scholl",Warner Bros.
5,Citizen Kane,1941,8.3,100,Orson Welles,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick, Ray Collins","['Drama', 'Mystery']","A group of reporters are trying to decipher the last word ever spoken by Charles Foster Kane, the millionaire newspaper tycoon: ""Rosebud"". The film begins with a news reel detailing Kane's life for the masses, and then from there, we are shown flashbacks from Kane's life. As the reporters investigate further, the viewers see a display of a fascinating man's rise to fame, and how he eventually fell off the top of the world.","{'Budget': '$839,727 (estimated)', 'Opening Weekend United States': '$216,239, 05 May 1991'}",['119'],['United States'],"['Argentina:Atp', 'Australia:G', 'Australia:NRC', 'Brazil:Livre', 'Brazil:12::(Blu-ray)', 'Brazil:10', 'Canada:G::(Manitoba/Nova Scotia/Quebec)', 'Canada:F::(Ontario)', 'Chile:TE+7', 'Denmark:15', 'Finland:K-16', 'Finland:K-12::(video rating)', 'France:Tous publics', 'Germany:12', 'India:UA::(DVD rating)', 'Ireland:G', 'Ireland:12::(DVD rating)', 'Israel:PG', 'Italy:T', 'Japan:PG-12::(video rating)', 'Mexico:B', 'Netherlands:6', 'Netherlands:14', 'New Zealand:PG', 'Peru:Apt', 'Philippines:PG-13::(video rating)', 'Portugal:M/12', 'Russia:12+', 'Singapore:PG::(video rating)', 'South Africa:PG::(video rating)', 'South Korea:12', 'South Korea:15', 'Spain:T', 'Sweden:15', 'United Kingdom:A', 'United Kingdom:U', 'United States:TV-PG::(TV Rating)', 'United States:PG', 'United States:Approved']",405014,"Herman J. Mankiewicz, Orson Welles, John Houseman","['English', 'Italian']",Bernard Herrmann,"Orson Welles, George Schaefer",Gregg Toland,Robert Wise,"Rufus Le Maire, Robert Palmer",13 Oct 2020 (India),0033467,"George Cave, John Houseman, Mark Robson, I.J. Wilkinson",NA,Van Nest Polglase,Edward Stevenson,"Pandro S. Berman, J.R. Crone, Lee S. Marcus","Eddie Donahoe, Fred Fleck","Bailey Fesler, James G. Stewart, John Aalberg, Harry Essman, John C. Grubb, Terry Kellum, T. Kilburn, Hugh McDowell Jr., Earl B. Mounce, Louis Page, Clem Portman, James Thompson, John E. Tribby, Edward Ullman, Truman K. Wood","Ernest Bachrach, Russell A. Cully, William Eglinton, Eddie Garvin, Ralph Hoge, Vic Jones, Alexander Kahle, Russell Metty, Earl Miller, Bert Shipman, Phil Stern, Charles Straumer, Harry J. Wild, Harry L. Wolf","Bernard Herrmann, Ralph Bekher, Dave Dreyer, Bernard Herrmann, Mischa Violin","RKO Radio Pictures, Mercury Productions"
6,Gone with the Wind,1939,8.1,97,"Victor Fleming, George Cukor, Sam Wood","Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes, Ann Rutherford","['Drama', 'History', 'Romance', 'War']","Scarlett is a woman who can deal with a nation at war, Atlanta burning, the Union Army carrying off everything from her beloved Tara, the carpetbaggers who arrive after the war. Scarlett is beautiful. She has vitality. But Ashley, the man she has wanted for so long, is going to marry his placid cousin, Melanie. Mammy warns Scarlett to behave herself at the party at Twelve Oaks. There is a new man there that day, the day the Civil War begins. Rhett Butler. Scarlett does not know he is in the room when she pleads with Ashley to choose her instead of Melanie.","{'Budget': '$3,977,000 (estimated)', 'Opening Weekend United States': '$1,192,593, 28 Jun 1998', 'Cumulative Worldwide Gross': '$400,176,459'}",['238'],['United States'],"['Argentina:Atp', 'Australia:A', 'Australia:PG', 'Belgium:KT/EA', 'Brazil:Livre', 'Canada:G::(British Columbia/Nova Scotia/Québec)', 'Canada:PG::(Manitoba/Ontario)', 'Finland:K-12', 'Finland:K-16', 'France:Tous publics', 'Hong Kong:I', 'Iceland:L', 'India:U', 'Italy:T', 'Japan:G', 'Malaysia:P13', 'Mexico:B', 'Netherlands:AL', 'Netherlands:6::(TV rating)', 'Netherlands:6::(Blu-ray rating)', 'New Zealand:PG', 'Norway:16', 'Peru:Apt', 'Philippines:PG-13::(MTRCB)', 'Portugal:17', 'Portugal:M/16::(R-14)', 'Portugal:M/12', 'Singapore:PG', 'South Korea:12', 'Spain:A', 'Sweden:15', 'Sweden:11', 'Taiwan:GP', 'United Kingdom:A', 'United Kingdom:PG::(tv rating)', 'United Kingdom:PG', 'United Kingdom:PG::(video rating)', 'United States:Passed::(National Board of Review)', 'United States:TV-PG::(TV rating)', 'United States:PG', 'United States:G', 'United States:Approved', 'West Germany:12::(f)']",290937,"Margaret Mitchell, Sidney Howard, Oliver H.P. Garrett",['English'],Max Steiner,David O. Selznick,"Ernest Haller, Lee Garmes",NA,"Charles Richards, Fred Schuessler",08 Jul 2020 (India),0031381,"Hal C. Kern, James E. Newcom, Ernie Leadlay, Richard L. Van Enger",William Cameron Menzies,Lyle R. Wheeler,Walter Plunkett,"Raymond A. Klune, William J. Scully, Daniel T. Shea","Eric Stacey, Peter Ballbusch, Ridgeway Callow, B. Reeves Eason, Arthur Fellows, James A. FitzPatrick, Harve Foster, Chester M. Franklin, William Cameron Menzies, John Sherwood, Ralph Slosser","Frank Maher, Fred Albin, T.A. Carman, Arthur Johns, Thomas T. Moulton, Gordon Sawyer","Arthur E. Arling, R.J. Campbell, Roy Clark, Vincent J. Farrar, Paul Hill, Paul Ivano, Vic Jones, Wally Oettel, Roy F. Overbaugh, Fred Parrish, James Potevin, Harold Rosson, Cliff Shirpser, Karl Struss, Arthur Williams, Fred Williams, Harry L. Wolf","Louis Forbes, Leo Arnaud, William Axt, R.H. Bassett, George Bassman, Dudley Chambers, Cecil Copping, Maurice De Packh, Adolph Deutsch, Arthur L. Frantz, Hugo Friedhofer, Stuart Frye, Bernhard Kaun, Arthur Kay, Albert Hay Malotte, Earl B. Mounce, Joseph Nussbaum, Darol Rice, Heinz Roemheld, Max Steiner, Franz Waxman","Selznick International Pictures, Metro-Goldwyn-Mayer (MGM)"
7,The Wizard of Oz,1939,8.0,92,"Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, Richard Thorpe, King Vidor","Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley","['Adventure', 'Family', 'Fantasy', 'Musical']","When a tornado rips through Kansas, Dorothy and her dog, Toto, are whisked away in their house to the magical land of Oz. They follow the Yellow Brick Road toward the Emerald City to meet the Wizard, and en route they meet a Scarecrow that needs a brain, a Tin Man missing a heart, and a Cowardly Lion who wants courage. The wizard asks the group to bring him the broom of the Wicked Witch of the West to earn his help.","{'Budget': '$2,800,000 (estimated)', 'Opening Weekend United States': '$1,211,474, 27 Jan 2019'}",['102'],['United States'],"['Argentina:Atp', 'Australia:G', 'Brazil:Livre', 'Canada:G::(Manitoba/Nova Scotia/Quebec)', 'Canada:F::(Ontario)', 'Canada:G::(video rating)', 'Chile:TE', 'Denmark:A', 'Finland:K-8', 'Finland:S', 'France:Tous publics', 'Greece:K', 'Hong Kong:I', 'Hungary:KN', 'Iceland:L', 'India:U', 'Ireland:G', 'Italy:T', 'Japan:G', 'Malaysia:U::(DVD)', 'Mexico:A', 'Netherlands:AL::(video rating)', 'New Zealand:G', 'Nigeria:G', 'Norway:A', 'Peru:Apt', 'Philippines:G', 'Portugal:M/4', 'Portugal:M/6::(DVD rating)', 'Russia:0+', 'Russia:6+::(video rating)', 'Saudi Arabia:G', 'Singapore:G', 'South Korea:All', 'South Korea:7::(DVD rating)', 'Spain:A', 'Sweden:Btl::(orignal rating)', 'Sweden:7', 'United Kingdom:A', 'United Kingdom:U', 'United States:Passed::(National Board of Review)', 'United States:TV-G::(TV rating)', 'United States:Approved', 'United States:TV-PG::(video rating)', 'United States:PG', 'United States:G', 'West Germany:0']",371911,"Noel Langley, Florence Ryerson, Edgar Allan Woolf",['English'],NA,"Mervyn LeRoy, Arthur Freed",Harold Rosson,Blanche Sewell,Leonard Murphy,06 Jan 1952 (India),0032138,"Janet Wilson, Margaret Booth, George Cave, Ernest Grooney, Tom Held, Jim Wilkinson","Malcolm Brown, William A. Horning, Jack Martin Smith","Cedric Gibbons, George Gibson, Wade B. Rubottom, Elmer Sheeley",Adrian,"Ulric Busch, Charles Chic, Joe Cook, Louis B. Mayer, Keith Weeks","Al Shenberg, Harrold Weinberger, Wallace Worsley Jr.","Douglas Shearer, James Burbridge, G.A. Burns, Earl Cates, O.O. Ceccarini, Bill Edmondson, James F. Gaither Jr., James Graham, T.B. Hoffman, Van Allen James, Lowell Kinsall, Standish J. Lambert, Frank McKenzie, Franklin Milton, Ralph A. Pender, Julian Powell, George G. Schneider, Douglas Shearer, Robert Shirley, Ralph Shugart, Newell Sparks, William Steinkamp, Michael Steinore, P. Richard Stevens, R.L. Stirling, Don T. Whitmer, John A. Williams","Allen M. Davey, Virgil Apger, John Arnold, Pop Arnold, Chris Bergswich, A.W. Brown, Clarence Sinclair Bull, Eric Carpenter, Bill Chapman, Sam Cohen, Nelson Cordes, Fred Detmers, Raymond Griffith, George Hommel, Henry Imus, Paul 'Shug' Keeler, Val O'Malley, W.E. Pohl, Ray Ramsey, Cliff Shirpser","Harold Arlen, George Bassman, Bobby Connolly, Murray Cutter, Ken Darby, E.Y. Harburg, Paul Marquardt, Lou Raderman, George Stoll, Herbert Stothart, Robert Armbruster, Leo Arnaud, Edward Baravalle, David Crocov, Peter P. Decek, Roger Edens, Nat W. Finston, Skitch Henderson, Frederick Herbert, Rudolph G. Kopp, Bud Linn, Harry V. Lojewski, M.J. McLaughlin, William Saracino, Toscha Seidel, George Stoll, Herbert Stothart, Robert W. Stringer, Robert Tucker, Robert Van Eps, Roger Wagner",Metro-Goldwyn-Mayer (MGM)
